#  L TT            EE            BB            TE            PP            PT            PE           
 633 1.9648836e+03 2.9674415e+01 8.0895767e-02 7.1725300e+00 1.3694889e-08 7.0854039e-06 -1.0238511e-06
 634 1.9579600e+03 2.9944339e+01 8.0951454e-02 5.9980265e+00 1.3662375e-08 7.1428518e-06 -1.0316573e-06
 635 1.9511666e+03 3.0211456e+01 8.1006640e-02 4.7986318e+00 1.3629985e-08 7.2003018e-06 -1.0393217e-06
 636 1.9445107e+03 3.0475550e+01 8.1061355e-02 3.5748072e+00 1.3597718e-08 7.2577451e-06 -1.0468439e-06
 637 1.9379920e+03 3.0736625e+01 8.1115627e-02 2.3270580e+00 1.3565577e-08 7.3151708e-06 -1.0542229e-06
 638 1.9316105e+03 3.0994465e+01 8.1169486e-02 1.0558886e+00 1.3533554e-08 7.3725656e-06 -1.0614577e-06
 639 1.9253732e+03 3.1249074e+01 8.1222962e-02 -2.3821988e-01 1.3501656e-08 7.4299222e-06 -1.0685481e-06
 640 1.9192801e+03 3.1500236e+01 8.1276082e-02 -1.5547661e+00 1.3469873e-08 7.4872273e-06 -1.0754929e-06
 641 1.9133384e+03 3.1747956e+01 8.1328877e-02 -2.8932436e+00 1.3438216e-08 7.5444719e-06 -1.0822915e-06
 642 1.9075405e+03 3.1992017e+01 8.1381375e-02 -4.2530814e+00 1.3406674e-08 7.6016426e-06 -1.0889430e-06
 643 1.9019084e+03 3.2232424e+01 8.1433604e-02 -5.6337035e+00 1.3375255e-08 7.6587331e-06 -1.0954470e-06
 644 1.8964198e+03 3.2469035e+01 8.1485593e-02 -7.0345211e+00 1.3343954e-08 7.7157290e-06 -1.1018024e-06
 645 1.8910967e+03 3.2701632e+01 8.1537372e-02 -8.4549612e+00 1.3312770e-08 7.7726206e-06 -1.1080085e-06
 646 1.8859390e+03 3.2930221e+01 8.1588967e-02 -9.8944516e+00 1.3281700e-08 7.8293952e-06 -1.1140643e-06
 647 1.8809391e+03 3.3154658e+01 8.1640409e-02 -1.1352339e+01 1.3250750e-08 7.8860458e-06 -1.1199696e-06
 648 1.8761042e+03 3.3374801e+01 8.1691724e-02 -1.2828179e+01 1.3219915e-08 7.9425598e-06 -1.1257233e-06
 649 1.8714342e+03 3.3590656e+01 8.1742940e-02 -1.4321172e+01 1.3189199e-08 7.9989275e-06 -1.1313249e-06
 650 1.8669439e+03 3.3802079e+01 8.1794086e-02 -1.5830815e+01 1.3158594e-08 8.0551360e-06 -1.1367733e-06
 651 1.8626181e+03 3.4009075e+01 8.1845190e-02 -1.7356384e+01 1.3128102e-08 8.1111762e-06 -1.1420680e-06
 652 1.8584642e+03 3.4211578e+01 8.1896278e-02 -1.8897226e+01 1.3097725e-08 8.1670393e-06 -1.1472093e-06
 653 1.8544895e+03 3.4409517e+01 8.1947379e-02 -2.0452762e+01 1.3067463e-08 8.2227192e-06 -1.1521980e-06
 654 1.8506936e+03 3.4602824e+01 8.1998518e-02 -2.2022342e+01 1.3037310e-08 8.2782036e-06 -1.1570340e-06
 655 1.8470840e+03 3.4791358e+01 8.2049725e-02 -2.3605315e+01 1.3007270e-08 8.3334865e-06 -1.1617179e-06
 656 1.8436456e+03 3.4975197e+01 8.2101025e-02 -2.5200881e+01 1.2977339e-08 8.3885595e-06 -1.1662503e-06
 657 1.8403931e+03 3.5154200e+01 8.2152446e-02 -2.6808541e+01 1.2947524e-08 8.4434156e-06 -1.1706317e-06
 658 1.8373264e+03 3.5328297e+01 8.2204013e-02 -2.8427423e+01 1.2917819e-08 8.4980464e-06 -1.1748626e-06
 659 1.8344452e+03 3.5497346e+01 8.2255755e-02 -3.0056953e+01 1.2888220e-08 8.5524408e-06 -1.1789430e-06
 660 1.8317495e+03 3.5661351e+01 8.2307696e-02 -3.1696411e+01 1.2858735e-08 8.6065936e-06 -1.1828739e-06
 661 1.8292390e+03 3.5820171e+01 8.2359863e-02 -3.3345074e+01 1.2829355e-08 8.6604946e-06 -1.1866553e-06
 662 1.8269212e+03 3.5973737e+01 8.2412282e-02 -3.5002298e+01 1.2800089e-08 8.7141398e-06 -1.1902883e-06
 663 1.8247884e+03 3.6122053e+01 8.2464980e-02 -3.6667288e+01 1.2770929e-08 8.7675167e-06 -1.1937727e-06
 664 1.8228479e+03 3.6264977e+01 8.2517981e-02 -3.8339327e+01 1.2741872e-08 8.8206161e-06 -1.1971090e-06
 665 1.8210997e+03 3.6402514e+01 8.2571311e-02 -4.0017770e+01 1.2712929e-08 8.8734341e-06 -1.2002981e-06
 666 1.8195360e+03 3.6534594e+01 8.2624996e-02 -4.1701900e+01 1.2684088e-08 8.9259592e-06 -1.2033400e-06
 667 1.8181643e+03 3.6661224e+01 8.2679060e-02 -4.3390926e+01 1.2655354e-08 8.9781855e-06 -1.2062356e-06
 668 1.8169918e+03 3.6782260e+01 8.2733529e-02 -4.5084132e+01 1.2626725e-08 9.0301025e-06 -1.2089848e-06
 669 1.8160036e+03 3.6897631e+01 8.2788428e-02 -4.6780877e+01 1.2598201e-08 9.0817042e-06 -1.2115886e-06
 670 1.8152144e+03 3.7007419e+01 8.2843780e-02 -4.8480371e+01 1.2569781e-08 9.1329804e-06 -1.2140470e-06
 671 1.8146166e+03 3.7111553e+01 8.2899611e-02 -5.0181901e+01 1.2541468e-08 9.1839259e-06 -1.2163610e-06
 672 1.8142102e+03 3.7209889e+01 8.2955944e-02 -5.1884827e+01 1.2513255e-08 9.2345294e-06 -1.2185306e-06
 673 1.8139951e+03 3.7302506e+01 8.3012803e-02 -5.3588287e+01 1.2485146e-08 9.2847827e-06 -1.2205562e-06
 674 1.8139711e+03 3.7389335e+01 8.3070212e-02 -5.5291717e+01 1.2457140e-08 9.3346820e-06 -1.2224388e-06
 675 1.8141455e+03 3.7470307e+01 8.3128194e-02 -5.6994256e+01 1.2429237e-08 9.3842147e-06 -1.2241784e-06
 676 1.8145110e+03 3.7545424e+01 8.3186772e-02 -5.8695193e+01 1.2401432e-08 9.4333714e-06 -1.2257752e-06
 677 1.8150672e+03 3.7614692e+01 8.3245970e-02 -6.0393891e+01 1.2373732e-08 9.4821485e-06 -1.2272303e-06
 678 1.8158068e+03 3.7677966e+01 8.3305808e-02 -6.2089417e+01 1.2346132e-08 9.5305355e-06 -1.2285438e-06
 679 1.8167446e+03 3.7735251e+01 8.3366310e-02 -6.3781060e+01 1.2318628e-08 9.5785230e-06 -1.2297161e-06
 680 1.8178729e+03 3.7786550e+01 8.3427497e-02 -6.5468111e+01 1.2291227e-08 9.6261053e-06 -1.2307479e-06
 681 1.8191843e+03 3.7831719e+01 8.3489391e-02 -6.7149638e+01 1.2263925e-08 9.6732728e-06 -1.2316395e-06
 682 1.8206787e+03 3.7870835e+01 8.3552012e-02 -6.8825006e+01 1.2236721e-08 9.7200175e-06 -1.2323913e-06
 683 1.8223635e+03 3.7903754e+01 8.3615381e-02 -7.0493358e+01 1.2209614e-08 9.7663311e-06 -1.2330039e-06
 684 1.8242387e+03 3.7930553e+01 8.3679519e-02 -7.2154134e+01 1.2182605e-08 9.8122054e-06 -1.2334776e-06
 685 1.8262892e+03 3.7951311e+01 8.3744444e-02 -7.3806628e+01 1.2155693e-08 9.8576323e-06 -1.2338129e-06
 686 1.8285225e+03 3.7965956e+01 8.3810176e-02 -7.5449759e+01 1.2128880e-08 9.9026047e-06 -1.2340105e-06
 687 1.8309385e+03 3.7974640e+01 8.3876734e-02 -7.7083713e+01 1.2102160e-08 9.9471121e-06 -1.2340705e-06
 688 1.8335372e+03 3.7977217e+01 8.3944136e-02 -7.8707783e+01 1.2075535e-08 9.9911475e-06 -1.2339934e-06
 689 1.8363185e+03 3.7973839e+01 8.4012400e-02 -8.0320519e+01 1.2049005e-08 1.0034703e-05 -1.2337798e-06
 690 1.8392749e+03 3.7964583e+01 8.4081542e-02 -8.1921215e+01 1.2022573e-08 1.0077772e-05 -1.2334304e-06
 691 1.8424065e+03 3.7949303e+01 8.4151580e-02 -8.3509908e+01 1.1996231e-08 1.0120342e-05 -1.2329450e-06
 692 1.8457133e+03 3.7928075e+01 8.4222529e-02 -8.5085893e+01 1.1969982e-08 1.0162407e-05 -1.2323244e-06
 693 1.8491951e+03 3.7900902e+01 8.4294404e-02 -8.6648463e+01 1.1943828e-08 1.0203961e-05 -1.2315693e-06
 694 1.8528445e+03 3.7867861e+01 8.4367221e-02 -8.8196171e+01 1.1917764e-08 1.0244992e-05 -1.2306796e-06
 695 1.8566691e+03 3.7828878e+01 8.4440993e-02 -8.9729054e+01 1.1891795e-08 1.0285496e-05 -1.2296565e-06
 696 1.8606464e+03 3.7783883e+01 8.4515733e-02 -9.1245664e+01 1.1865918e-08 1.0325461e-05 -1.2284998e-06
 697 1.8647988e+03 3.7733099e+01 8.4591456e-02 -9.2746040e+01 1.1840128e-08 1.0364880e-05 -1.2272101e-06
 698 1.8691040e+03 3.7676379e+01 8.4668171e-02 -9.4228733e+01 1.1814431e-08 1.0403747e-05 -1.2257882e-06
 699 1.8735768e+03 3.7613799e+01 8.4745892e-02 -9.5693781e+01 1.1788825e-08 1.0442050e-05 -1.2242341e-06
 700 1.8782025e+03 3.7545436e+01 8.4824627e-02 -9.7140481e+01 1.1763307e-08 1.0479785e-05 -1.2225486e-06
 701 1.8829811e+03 3.7471289e+01 8.4904388e-02 -9.8568128e+01 1.1737878e-08 1.0516940e-05 -1.2207318e-06
 702 1.8879051e+03 3.7391360e+01 8.4985183e-02 -9.9976020e+01 1.1712538e-08 1.0553517e-05 -1.2187849e-06
 703 1.8929821e+03 3.7305800e+01 8.5067021e-02 -1.0136420e+02 1.1687283e-08 1.0589507e-05 -1.2167078e-06
 704 1.8982120e+03 3.7214536e+01 8.5149909e-02 -1.0273048e+02 1.1662121e-08 1.0624918e-05 -1.2145025e-06
 705 1.9035727e+03 3.7117718e+01 8.5233855e-02 -1.0407565e+02 1.1637041e-08 1.0659739e-05 -1.2121685e-06
 706 1.9090865e+03 3.7015346e+01 8.5318863e-02 -1.0539826e+02 1.1612053e-08 1.0693976e-05 -1.2097075e-06
 707 1.9147311e+03 3.6907571e+01 8.5404940e-02 -1.0669836e+02 1.1587148e-08 1.0727619e-05 -1.2071195e-06
 708 1.9205066e+03 3.6794244e+01 8.5492090e-02 -1.0797598e+02 1.1562330e-08 1.0760672e-05 -1.2044056e-06
 709 1.9264205e+03 3.6675663e+01 8.5580316e-02 -1.0922894e+02 1.1537600e-08 1.0793133e-05 -1.2015666e-06
 710 1.9324580e+03 3.6551754e+01 8.5669623e-02 -1.1045803e+02 1.1512953e-08 1.0824994e-05 -1.1986029e-06
 711 1.9386193e+03 3.6422593e+01 8.5760011e-02 -1.1166253e+02 1.1488390e-08 1.0856259e-05 -1.1955154e-06
 712 1.9449119e+03 3.6288252e+01 8.5851482e-02 -1.1284102e+02 1.1463915e-08 1.0886926e-05 -1.1923051e-06
 713 1.9513135e+03 3.6148733e+01 8.5944038e-02 -1.1399353e+02 1.1439521e-08 1.0916989e-05 -1.1889722e-06
 714 1.9578316e+03 3.6004183e+01 8.6037678e-02 -1.1511935e+02 1.1415212e-08 1.0946450e-05 -1.1855179e-06
 715 1.9644665e+03 3.5854602e+01 8.6132401e-02 -1.1621853e+02 1.1390988e-08 1.0975305e-05 -1.1819428e-06
 716 1.9712034e+03 3.5699989e+01 8.6228205e-02 -1.1729037e+02 1.1366844e-08 1.1003550e-05 -1.1782472e-06
 717 1.9780423e+03 3.5540419e+01 8.6325089e-02 -1.1833342e+02 1.1342785e-08 1.1031189e-05 -1.1744325e-06
 718 1.9849835e+03 3.5375964e+01 8.6423049e-02 -1.1934771e+02 1.1318806e-08 1.1058214e-05 -1.1704990e-06
 719 1.9920196e+03 3.5206771e+01 8.6522082e-02 -1.2033256e+02 1.1294911e-08 1.1084627e-05 -1.1664477e-06
 720 1.9991507e+03 3.5032840e+01 8.6622183e-02 -1.2128872e+02 1.1271097e-08 1.1110425e-05 -1.1622791e-06
 721 2.0063697e+03 3.4854392e+01 8.6723347e-02 -1.2221477e+02 1.1247365e-08 1.1135606e-05 -1.1579941e-06
 722 2.0136765e+03 3.4671426e+01 8.6825568e-02 -1.2311074e+02 1.1223710e-08 1.1160164e-05 -1.1535931e-06
 723 2.0210715e+03 3.4484162e+01 8.6928840e-02 -1.2397667e+02 1.1200141e-08 1.1184107e-05 -1.1490776e-06
 724 2.0285472e+03 3.4292672e+01 8.7033156e-02 -1.2481185e+02 1.1176649e-08 1.1207423e-05 -1.1444474e-06
 725 2.0361040e+03 3.4097029e+01 8.7138508e-02 -1.2561557e+02 1.1153236e-08 1.1230115e-05 -1.1397038e-06
 726 2.0437344e+03 3.3897305e+01 8.7244887e-02 -1.2638862e+02 1.1129902e-08 1.1252180e-05 -1.1348473e-06
 727 2.0514388e+03 3.3693646e+01 8.7352286e-02 -1.2712954e+02 1.1106647e-08 1.1273616e-05 -1.1298788e-06
 728 2.0592172e+03 3.3486049e+01 8.7460693e-02 -1.2783912e+02 1.1083470e-08 1.1294421e-05 -1.1247989e-06
 729 2.0670476e+03 3.3274735e+01 8.7570100e-02 -1.2851515e+02 1.1060371e-08 1.1314594e-05 -1.1196084e-06
 730 2.0749450e+03 3.3059626e+01 8.7680496e-02 -1.2915917e+02 1.1037350e-08 1.1334131e-05 -1.1143080e-06
 731 2.0829022e+03 3.2840941e+01 8.7791869e-02 -1.2977046e+02 1.1014408e-08 1.1353035e-05 -1.1088986e-06
 732 2.0909045e+03 3.2618678e+01 8.7904208e-02 -1.3034757e+02 1.0991540e-08 1.1371297e-05 -1.1033806e-06
 733 2.0989594e+03 3.2393055e+01 8.8017500e-02 -1.3089127e+02 1.0968748e-08 1.1388919e-05 -1.0977549e-06
 734 2.1070599e+03 3.2163995e+01 8.8131733e-02 -1.3140011e+02 1.0946035e-08 1.1405900e-05 -1.0920223e-06
 735 2.1151912e+03 3.1931792e+01 8.8246893e-02 -1.3187562e+02 1.0923395e-08 1.1422235e-05 -1.0861834e-06
 736 2.1233685e+03 3.1696514e+01 8.8362967e-02 -1.3231632e+02 1.0900831e-08 1.1437926e-05 -1.0802392e-06
 737 2.1315695e+03 3.1458160e+01 8.8479941e-02 -1.3272227e+02 1.0878341e-08 1.1452966e-05 -1.0741899e-06
 738 2.1398020e+03 3.1216946e+01 8.8597800e-02 -1.3309347e+02 1.0855927e-08 1.1467357e-05 -1.0680368e-06
 739 2.1480587e+03 3.0972942e+01 8.8716528e-02 -1.3342923e+02 1.0833585e-08 1.1481095e-05 -1.0617802e-06
 740 2.1563324e+03 3.0726294e+01 8.8836111e-02 -1.3372882e+02 1.0811319e-08 1.1494182e-05 -1.0554213e-06
 741 2.1646159e+03 3.0477144e+01 8.8956532e-02 -1.3399376e+02 1.0789124e-08 1.1506609e-05 -1.0489602e-06
 742 2.1729095e+03 3.0225561e+01 8.9077774e-02 -1.3422333e+02 1.0767004e-08 1.1518380e-05 -1.0423982e-06
 743 2.1812133e+03 2.9971690e+01 8.9199822e-02 -1.3441682e+02 1.0744956e-08 1.1529492e-05 -1.0357359e-06
 744 2.1895126e+03 2.9715674e+01 8.9322658e-02 -1.3457424e+02 1.0722980e-08 1.1539941e-05 -1.0289738e-06
 745 2.1978078e+03 2.9457655e+01 8.9446263e-02 -1.3469564e+02 1.0701076e-08 1.1549728e-05 -1.0221129e-06
 746 2.2060917e+03 2.9197703e+01 8.9570621e-02 -1.3478176e+02 1.0679243e-08 1.1558848e-05 -1.0151536e-06
 747 2.2143643e+03 2.8935960e+01 8.9695712e-02 -1.3483116e+02 1.0657481e-08 1.1567301e-05 -1.0080971e-06
 748 2.2226186e+03 2.8672496e+01 8.9821518e-02 -1.3484459e+02 1.0635789e-08 1.1575081e-05 -1.0009435e-06
 749 2.2308548e+03 2.8407452e+01 8.9948019e-02 -1.3482207e+02 1.0614167e-08 1.1582193e-05 -9.9369421e-07
 750 2.2390656e+03 2.8140971e+01 9.0075196e-02 -1.3476363e+02 1.0592615e-08 1.1588631e-05 -9.8634949e-07
 751 2.2472439e+03 2.7873121e+01 9.0203029e-02 -1.3466855e+02 1.0571132e-08 1.1594394e-05 -9.7891052e-07
 752 2.2553825e+03 2.7604045e+01 9.0331497e-02 -1.3453683e+02 1.0549718e-08 1.1599484e-05 -9.7137860e-07
 753 2.2634890e+03 2.7333811e+01 9.0460579e-02 -1.3437000e+02 1.0528373e-08 1.1603905e-05 -9.6375568e-07
 754 2.2715562e+03 2.7062560e+01 9.0590254e-02 -1.3416658e+02 1.0507096e-08 1.1607657e-05 -9.5604325e-07
 755 2.2795770e+03 2.6790509e+01 9.0720500e-02 -1.3392734e+02 1.0485890e-08 1.1610747e-05 -9.4824336e-07
 756 2.2875440e+03 2.6517727e+01 9.0851296e-02 -1.3365229e+02 1.0464749e-08 1.1613174e-05 -9.4035739e-07
 757 2.2954725e+03 2.6244428e+01 9.0982618e-02 -1.3334146e+02 1.0443678e-08 1.1614944e-05 -9.3238728e-07
 758 2.3033478e+03 2.5970607e+01 9.1114445e-02 -1.3299634e+02 1.0422672e-08 1.1616053e-05 -9.2433442e-07
 759 2.3111701e+03 2.5696552e+01 9.1246753e-02 -1.3261546e+02 1.0401732e-08 1.1616511e-05 -9.1620084e-07
 760 2.3189322e+03 2.5422333e+01 9.1379517e-02 -1.3219958e+02 1.0380862e-08 1.1616318e-05 -9.0798826e-07
 761 2.3266344e+03 2.5148089e+01 9.1512715e-02 -1.3174871e+02 1.0360054e-08 1.1615475e-05 -8.9969807e-07
 762 2.3342695e+03 2.4873888e+01 9.1646322e-02 -1.3126287e+02 1.0339316e-08 1.1613988e-05 -8.9133243e-07
 763 2.3418376e+03 2.4599871e+01 9.1780312e-02 -1.3074281e+02 1.0318644e-08 1.1611859e-05 -8.8289292e-07
 764 2.3493243e+03 2.4326105e+01 9.1914662e-02 -1.3018706e+02 1.0298034e-08 1.1609086e-05 -8.7438086e-07
 765 2.3567298e+03 2.4052805e+01 9.2049345e-02 -1.2959710e+02 1.0277492e-08 1.1605679e-05 -8.6579847e-07
 766 2.3640542e+03 2.3780038e+01 9.2184335e-02 -1.2897221e+02 1.0257013e-08 1.1601634e-05 -8.5714717e-07
 767 2.3712830e+03 2.3507796e+01 9.2319606e-02 -1.2831239e+02 1.0236601e-08 1.1596959e-05 -8.4842887e-07
 768 2.3784238e+03 2.3236369e+01 9.2455132e-02 -1.2761765e+02 1.0216252e-08 1.1591655e-05 -8.3964518e-07
 769 2.3854547e+03 2.2965897e+01 9.2590885e-02 -1.2688948e+02 1.0195966e-08 1.1585720e-05 -8.3079762e-07
 770 2.3923907e+03 2.2696447e+01 9.2726839e-02 -1.2612788e+02 1.0175745e-08 1.1579164e-05 -8.2188831e-07
 771 2.3992171e+03 2.2428158e+01 9.2862964e-02 -1.2533285e+02 1.0155588e-08 1.1571987e-05 -8.1291876e-07
 772 2.4059269e+03 2.2161246e+01 9.2999234e-02 -1.2450441e+02 1.0135494e-08 1.1564191e-05 -8.0389068e-07
 773 2.4125277e+03 2.1895778e+01 9.3135620e-02 -1.2364402e+02 1.0115462e-08 1.1555779e-05 -7.9480580e-07
 774 2.4190050e+03 2.1631892e+01 9.3272094e-02 -1.2275171e+02 1.0095493e-08 1.1546753e-05 -7.8566582e-07
 775 2.4253588e+03 2.1369731e+01 9.3408626e-02 -1.2182745e+02 1.0075587e-08 1.1537117e-05 -7.7647246e-07
 776 2.4315970e+03 2.1109433e+01 9.3545186e-02 -1.2087274e+02 1.0055742e-08 1.1526873e-05 -7.6722743e-07
 777 2.4377124e+03 2.0851065e+01 9.3681747e-02 -1.1988683e+02 1.0035959e-08 1.1516023e-05 -7.5793246e-07
 778 2.4437051e+03 2.0594767e+01 9.3818277e-02 -1.1887120e+02 1.0016237e-08 1.1504571e-05 -7.4858925e-07
 779 2.4495755e+03 2.0340605e+01 9.3954747e-02 -1.1782510e+02 9.9965780e-09 1.1492522e-05 -7.3919970e-07
 780 2.4553164e+03 2.0088794e+01 9.4091126e-02 -1.1675076e+02 9.9769778e-09 1.1479872e-05 -7.2976516e-07
 781 2.4609355e+03 1.9839324e+01 9.4227385e-02 -1.1564742e+02 9.9574380e-09 1.1466628e-05 -7.2028754e-07
 782 2.4664181e+03 1.9592336e+01 9.4363492e-02 -1.1451582e+02 9.9379583e-09 1.1452793e-05 -7.1076854e-07
 783 2.4717719e+03 1.9347970e+01 9.4499417e-02 -1.1335520e+02 9.9185384e-09 1.1438368e-05 -7.0120988e-07
 784 2.4769824e+03 1.9106292e+01 9.4635128e-02 -1.1216704e+02 9.8991805e-09 1.1423358e-05 -6.9161336e-07
 785 2.4820497e+03 1.8867367e+01 9.4770596e-02 -1.1095059e+02 9.8798794e-09 1.1407763e-05 -6.8198053e-07
 786 2.4869593e+03 1.8631336e+01 9.4905788e-02 -1.0970583e+02 9.8606396e-09 1.1391590e-05 -6.7231334e-07
 787 2.4917189e+03 1.8398264e+01 9.5040673e-02 -1.0843423e+02 9.8414561e-09 1.1374835e-05 -6.6261319e-07
 788 2.4963212e+03 1.8168291e+01 9.5175221e-02 -1.0713429e+02 9.8223310e-09 1.1357505e-05 -6.5288196e-07
 789 2.5007516e+03 1.7941558e+01 9.5309399e-02 -1.0580823e+02 9.8032651e-09 1.1339604e-05 -6.4312143e-07
 790 2.5050253e+03 1.7718129e+01 9.5443177e-02 -1.0445528e+02 9.7842582e-09 1.1321133e-05 -6.3333332e-07
 791 2.5091276e+03 1.7498220e+01 9.5576523e-02 -1.0307840e+02 9.7653064e-09 1.1302093e-05 -6.2351912e-07
 792 2.5130662e+03 1.7281970e+01 9.5709406e-02 -1.0167682e+02 9.7464141e-09 1.1282488e-05 -6.1368077e-07
 793 2.5168339e+03 1.7069519e+01 9.5841795e-02 -1.0025201e+02 9.7275764e-09 1.1262321e-05 -6.0381983e-07
 794 2.5204308e+03 1.6860934e+01 9.5973659e-02 -9.8804692e+01 9.7087976e-09 1.1241596e-05 -5.9393824e-07
 795 2.5238499e+03 1.6656429e+01 9.6104966e-02 -9.7336328e+01 9.6900751e-09 1.1220313e-05 -5.8403749e-07
 796 2.5270988e+03 1.6455995e+01 9.6235686e-02 -9.5846151e+01 9.6714063e-09 1.1198475e-05 -5.7411930e-07
 797 2.5301776e+03 1.6259698e+01 9.6365789e-02 -9.4335623e+01 9.6527955e-09 1.1176088e-05 -5.6418560e-07
 798 2.5330792e+03 1.6067604e+01 9.6495243e-02 -9.2804717e+01 9.6342401e-09 1.1153152e-05 -5.5423789e-07
 799 2.5358113e+03 1.5879780e+01 9.6624018e-02 -9.1254151e+01 9.6157399e-09 1.1129670e-05 -5.4427802e-07
 800 2.5383665e+03 1.5696291e+01 9.6752085e-02 -8.9683153e+01 9.5972945e-09 1.1105644e-05 -5.3430758e-07
 801 2.5407451e+03 1.5517129e+01 9.6879413e-02 -8.8093924e+01 9.5789013e-09 1.1081077e-05 -5.2432809e-07
 802 2.5429547e+03 1.5342286e+01 9.7005973e-02 -8.6485694e+01 9.5605670e-09 1.1055979e-05 -5.1434058e-07
 803 2.5449808e+03 1.5172049e+01 9.7131736e-02 -8.4859178e+01 9.5422823e-09 1.1030351e-05 -5.0434527e-07
 804 2.5468309e+03 1.5006338e+01 9.7256672e-02 -8.3215831e+01 9.5240538e-09 1.1004202e-05 -4.9434300e-07
 805 2.5484905e+03 1.4845439e+01 9.7380753e-02 -8.1554881e+01 9.5058789e-09 1.0977539e-05 -4.8433430e-07
 806 2.5499524e+03 1.4689345e+01 9.7503951e-02 -7.9878525e+01 9.4877597e-09 1.0950371e-05 -4.7431986e-07
 807 2.5512166e+03 1.4538196e+01 9.7626237e-02 -7.8185247e+01 9.4696916e-09 1.0922700e-05 -4.6430011e-07
 808 2.5522835e+03 1.4392132e+01 9.7747584e-02 -7.6477984e+01 9.4516765e-09 1.0894533e-05 -4.5427564e-07
 809 2.5531459e+03 1.4251219e+01 9.7867965e-02 -7.4755960e+01 9.4337142e-09 1.0865879e-05 -4.4424715e-07
 810 2.5538038e+03 1.4115525e+01 9.7987353e-02 -7.3019884e+01 9.4158067e-09 1.0836745e-05 -4.3421522e-07
 811 2.5542575e+03 1.3985114e+01 9.8105721e-02 -7.1271355e+01 9.3979471e-09 1.0807131e-05 -4.2418025e-07
 812 2.5545221e+03 1.3859906e+01 9.8223044e-02 -6.9511005e+01 9.3801442e-09 1.0777053e-05 -4.1414312e-07
 813 2.5545902e+03 1.3740041e+01 9.8339295e-02 -6.7739763e+01 9.3623911e-09 1.0746510e-05 -4.0410418e-07
 814 2.5544695e+03 1.3625511e+01 9.8454450e-02 -6.5958483e+01 9.3446896e-09 1.0715513e-05 -3.9406417e-07
 815 2.5541676e+03 1.3516309e+01 9.8568484e-02 -6.4168017e+01 9.3270420e-09 1.0684068e-05 -3.8402366e-07
 816 2.5536845e+03 1.3412576e+01 9.8681373e-02 -6.2369220e+01 9.3094434e-09 1.0652178e-05 -3.7398312e-07
 817 2.5530132e+03 1.3314305e+01 9.8793092e-02 -6.0562569e+01 9.2918981e-09 1.0619855e-05 -3.6394331e-07
 818 2.5521536e+03 1.3221564e+01 9.8903619e-02 -5.8748249e+01 9.2744015e-09 1.0587101e-05 -3.5390470e-07
 819 2.5510985e+03 1.3134345e+01 9.9012930e-02 -5.6926663e+01 9.2569578e-09 1.0553925e-05 -3.4386795e-07
 820 2.5498405e+03 1.3052864e+01 9.9121003e-02 -5.5098215e+01 9.2395613e-09 1.0520332e-05 -3.3383357e-07
 821 2.5483725e+03 1.2977041e+01 9.9227817e-02 -5.3263234e+01 9.2222183e-09 1.0486331e-05 -3.2380224e-07
 822 2.5466945e+03 1.2907018e+01 9.9333349e-02 -5.1421975e+01 9.2049231e-09 1.0451923e-05 -3.1377443e-07
 823 2.5447992e+03 1.2842787e+01 9.9437578e-02 -4.9574913e+01 9.1876800e-09 1.0417122e-05 -3.0375088e-07
 824 2.5426941e+03 1.2784419e+01 9.9540484e-02 -4.7723044e+01 9.1704842e-09 1.0381929e-05 -2.9373207e-07
 825 2.5403867e+03 1.2731905e+01 9.9642048e-02 -4.5867512e+01 9.1533400e-09 1.0346353e-05 -2.8371866e-07
 826 2.5378772e+03 1.2685315e+01 9.9742248e-02 -4.4009460e+01 9.1362450e-09 1.0310401e-05 -2.7371120e-07
 827 2.5351731e+03 1.2644569e+01 9.9841067e-02 -4.2150031e+01 9.1191990e-09 1.0274078e-05 -2.6371028e-07
 828 2.5322743e+03 1.2609736e+01 9.9938485e-02 -4.0290218e+01 9.1021995e-09 1.0237388e-05 -2.5371644e-07
 829 2.5291960e+03 1.2580809e+01 1.0003448e-01 -3.8431237e+01 9.0852507e-09 1.0200344e-05 -2.4373039e-07
 830 2.5259381e+03 1.2557859e+01 1.0012905e-01 -3.6574080e+01 9.0683502e-09 1.0162949e-05 -2.3375265e-07
 831 2.5225007e+03 1.2540806e+01 1.0022216e-01 -3.4719072e+01 9.0514979e-09 1.0125209e-05 -2.2378382e-07
 832 2.5188765e+03 1.2529720e+01 1.0031379e-01 -3.2866684e+01 9.0346934e-09 1.0087131e-05 -2.1382448e-07
 833 2.5150580e+03 1.2524670e+01 1.0040395e-01 -3.1017090e+01 9.0179344e-09 1.0048721e-05 -2.0387520e-07
 834 2.5110527e+03 1.2525652e+01 1.0049260e-01 -2.9170613e+01 9.0012251e-09 1.0009988e-05 -1.9393662e-07
 835 2.5068459e+03 1.2532661e+01 1.0057973e-01 -2.7327649e+01 8.9845629e-09 9.9709345e-06 -1.8400928e-07
 836 2.5024300e+03 1.2545768e+01 1.0066533e-01 -2.5488372e+01 8.9679478e-09 9.9315710e-06 -1.7409382e-07
 837 2.4978127e+03 1.2564969e+01 1.0074938e-01 -2.3653325e+01 8.9513795e-09 9.8919023e-06 -1.6419081e-07
