#  L TT            EE            BB            TE            PP            PT            PE           
  47 1.3678911e+03 9.8226807e-02 7.1605333e-04 1.0617074e+00 1.3583364e-07 8.2312560e-04 -4.7183270e-07
  48 1.3876712e+03 1.0516171e-01 7.4694189e-04 9.1136397e-01 1.3536601e-07 8.0649374e-04 -4.0015555e-07
  49 1.4075950e+03 1.1238111e-01 7.7848485e-04 7.4734716e-01 1.3487871e-07 7.9037155e-04 -3.4608704e-07
  50 1.4277171e+03 1.1988817e-01 8.1068126e-04 5.6953342e-01 1.3437342e-07 7.7474605e-04 -3.4759880e-07
  51 1.4480962e+03 1.2768710e-01 8.4353018e-04 3.7804744e-01 1.3385172e-07 7.5960706e-04 -4.3017001e-07
  52 1.4686791e+03 1.3578191e-01 8.7703063e-04 1.7380462e-01 1.3331464e-07 7.4495544e-04 -5.6962767e-07
  53 1.4893943e+03 1.4417320e-01 9.1118167e-04 -4.2291828e-02 1.3276317e-07 7.3079562e-04 -7.2946650e-07
  54 1.5102223e+03 1.5286234e-01 9.4598236e-04 -2.7019785e-01 1.3219836e-07 7.1713220e-04 -8.7326270e-07
  55 1.5311584e+03 1.6185216e-01 9.8143179e-04 -5.1023898e-01 1.3162118e-07 7.0396953e-04 -9.6466603e-07
  56 1.5523140e+03 1.7113905e-01 1.0175291e-03 -7.6337025e-01 1.3103263e-07 6.9130385e-04 -9.7726714e-07
  57 1.5737906e+03 1.8072032e-01 1.0542736e-03 -1.0305000e+00 1.3043328e-07 6.7909601e-04 -9.2417336e-07
  58 1.5955458e+03 1.9059574e-01 1.0916644e-03 -1.3118455e+00 1.2982368e-07 6.6729888e-04 -8.2832589e-07
  59 1.6174926e+03 2.0076581e-01 1.1297009e-03 -1.6073367e+00 1.2920442e-07 6.5586544e-04 -7.1262044e-07
  60 1.6396109e+03 2.1122364e-01 1.1683825e-03 -1.9164873e+00 1.2857606e-07 6.4474846e-04 -5.9991067e-07
  61 1.6619082e+03 2.2196284e-01 1.2077089e-03 -2.2388307e+00 1.2793918e-07 6.3390605e-04 -5.0990220e-07
  62 1.6843905e+03 2.3297924e-01 1.2476796e-03 -2.5743340e+00 1.2729479e-07 6.2331559e-04 -4.4983384e-07
  63 1.7070766e+03 2.4426992e-01 1.2882945e-03 -2.9230880e+00 1.2664389e-07 6.1295971e-04 -4.2382770e-07
  64 1.7299705e+03 2.5583126e-01 1.3295534e-03 -3.2851759e+00 1.2598740e-07 6.0282061e-04 -4.3600175e-07
  65 1.7530984e+03 2.6766183e-01 1.3714563e-03 -3.6607403e+00 1.2532643e-07 5.9288111e-04 -4.9047095e-07
  66 1.7764981e+03 2.7975382e-01 1.4140034e-03 -4.0499605e+00 1.2466184e-07 5.8313023e-04 -5.8757766e-07
  67 1.8001497e+03 2.9210061e-01 1.4571951e-03 -4.4523224e+00 1.2399420e-07 5.7358435e-04 -7.1259611e-07
  68 1.8240154e+03 3.0469284e-01 1.5010318e-03 -4.8671334e+00 1.2332393e-07 5.6426626e-04 -8.4705536e-07
  69 1.8480499e+03 3.1752344e-01 1.5455140e-03 -5.2937302e+00 1.2265150e-07 5.5519858e-04 -9.7250880e-07
  70 1.8722226e+03 3.3058604e-01 1.5906426e-03 -5.7316430e+00 1.2197734e-07 5.4640428e-04 -1.0705333e-06
